# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	13972
#@/user_id	036845c7-2634-4d65-b057-ba3ac1d41d55
chan zhe 	纏着	c=1 d=1 t=4164
chang 	長	c=2 d=1 t=7714
chang chang 	嘗嘗	c=2 d=1.20909 t=1128
chang du 	長度	c=1 d=1 t=7565
chang gui 	常規	c=1 d=1 t=6055
chang he 	場合	c=2 d=1.38674 t=1045
chang jian 	常见	c=1 d=1 t=10648
chang jing 	場景	c=3 d=1.2865 t=4736
chang jiu 	長久	c=0 d=0.1 t=13147
chang liang 	常量	c=3 d=1.96561 t=11499
chang shi 	常識	c=3 d=1.67244 t=8259
chang shi jian 	長時間	c=2 d=1 t=13942
chao 	吵	c=1 d=1 t=12179
chao 	朝	c=1 d=1 t=3072
chao 	超	c=0 d=0.1 t=3921
chao chang 	超長	c=2 d=1.96561 t=10220
chao chu 	超出	c=1 d=1 t=7588
chao guo 	超過	c=3 d=1.17119 t=6931
chao lian jie 	超鏈接	c=1 d=1 t=3922
chao qi lai 	吵起來	c=2 d=1.72979 t=12123
chao qun 	超群	c=0 d=0.1 t=13947
chao xian 	朝鮮	c=1 d=1 t=13396
chao zhong 	超重	c=1 d=1 t=13933
che 	車	c=5 d=1.86277 t=13737
che di 	徹底	c=1 d=1 t=6548
che zai 	車載	c=1 d=1 t=2960
cheng 	成	c=1 d=1 t=1051
cheng 	程	c=1 d=1 t=11765
cheng ben 	成本	c=0 d=0.1 t=3507
cheng bu zhu 	撐不住	c=2 d=1.98511 t=9592
cheng du 	成都	c=1 d=1 t=1593
cheng dui 	成對	c=1 d=1 t=7738
cheng gong 	成公	c=1 d=1 t=2188
cheng shi 	城市	c=3 d=0.201773 t=13510
cheng shou 	承受	c=0 d=0.1 t=6757
cheng shou bu qi 	承受不起	c=1 d=1 t=6758
cheng xu yuan 	程序員	c=2 d=1.00454 t=7028
chi 	喫	c=16 d=1.0008 t=13922
chi bu 	喫不	c=0 d=0.1 t=4183
chi bu qi 	喫不起	c=1 d=1 t=4184
chi bu xia 	喫不下	c=1 d=1 t=8395
chi cun 	尺寸	c=1 d=1 t=13598
chi de 	喫得	c=1 d=1 t=13705
chi dian 	赤电	c=1 d=1 t=7463
chi fan 	喫飯	c=19 d=1 t=12853
chi ge 	喫個	c=2 d=1.1108 t=940
chi ge fan 	喫個飯	c=1 d=1 t=1117
chi huai 	喫壞	c=1 d=1 t=5628
chi li 	喫力	c=1 d=1 t=13878
chi ping 	持平	c=2 d=1 t=12980
chong fen 	充分	c=2 d=1 t=11576
chong fu 	重複	c=2 d=1 t=11477
chong gou 	重構	c=2 d=1 t=9446
chong jian 	重建	c=1 d=1 t=7624
chong qi 	重啓	c=1 d=1 t=326
chong tu 	衝突	c=1 d=1 t=3309
chong xin 	重新	c=3 d=1 t=11735
chong zhi 	充值	c=1 d=1 t=330
chong zhi 	重置	c=1 d=1 t=331
chou 	丑	c=1 d=1 t=5951
chou 	抽	c=1 d=1 t=5970
chou bu chou 	抽不抽	c=1 d=1 t=876
chou yan 	抽菸	c=1 d=1 t=833
chu 	出	c=5 d=1.01803 t=12651
chu 	處	c=2 d=0.1 t=13906
chu bing 	出兵	c=4 d=3.61773 t=13490
chu chai 	出差	c=1 d=1 t=928
chu ci jian mian 	初次見面	c=1 d=1 t=979
chu fa 	觸發	c=1 d=1 t=4902
chu fei 	除非	c=3 d=1.00055 t=11512
chu gui 	出軌	c=1 d=1 t=1685
chu guo 	出國	c=0 d=0.1 t=1570
chu guo ba 	出國吧	c=1 d=1 t=1571
chu jia 	出嫁	c=1 d=1 t=12792
chu lai 	出來	c=11 d=3.05939 t=10952
chu le 	除了	c=5 d=1.00015 t=12476
chu le wo 	除了我	c=1 d=1 t=1657
chu li 	出离	c=1 d=1 t=3980
chu li 	處理	c=8 d=1.0123 t=12701
chu lian 	初戀	c=1 d=1 t=12820
chu lu 	出路	c=0 d=0.1 t=408
chu men 	出門	c=1 d=1 t=4646
chu qu 	出去	c=3 d=1.00006 t=10402
chu shi 	初始	c=1 d=1 t=337
chu shi hua 	初始化	c=2 d=1 t=11582
chu xian 	出現	c=3 d=1.0003 t=13274
chu xu 	儲蓄	c=1 d=1 t=12431
chu yu 	處於	c=3 d=1.93707 t=9205
chuan ru 	傳入	c=2 d=1.8825 t=2157
chuang jian 	創建	c=4 d=1.00004 t=9817
chuang ti 	窗體	c=1 d=1 t=9501
chuang wei 	牀位	c=2 d=1.63763 t=13695
chui 	吹	c=1 d=1 t=10930
chun 	純	c=2 d=1.60351 t=10570
ci 	次	c=4 d=1.89311 t=11564
ci 	此	c=2 d=1.47237 t=7653
ci chu 	此處	c=6 d=2.52907 t=11538
ci ji 	刺激	c=1 d=1 t=9816
ci tui 	辭退	c=3 d=2.89356 t=7049
ci yao 	次要	c=1 d=1 t=10073
ci zu 	詞組	c=1 d=1 t=7737
cong 	從	c=24 d=1.49161 t=13535
cong lai 	從來	c=1 d=1 t=13831
cong min guo 	從民國	c=1 d=1 t=12310
cong wo 	從我	c=1 d=1 t=6869
cong xiao 	從小	c=1 d=1 t=12209
cou 	湊	c=2 d=1.00748 t=3645
cui tui 	崔隤	c=1 d=1 t=7042
cun 	存	c=2 d=1.86071 t=4066
cun 	村	c=2 d=1.00001 t=6927
cun gou 	存夠	c=1 d=1 t=9991
cun kuan 	存款	c=1 d=1 t=12507
cun qian 	存錢	c=1 d=1 t=9706
cun ren 	村人	c=0 d=0.1 t=3513
cun zai 	存在	c=6 d=1.5886 t=11572
cuo 	錯	c=6 d=1.9924 t=9334
cuo jue 	錯覺	c=1 d=1 t=9658
da 	大	c=17 d=1.01504 t=13507
da 	打	c=11 d=2.75238 t=13769
da ban ben 	大版本	c=1 d=1 t=11240
da bao 	大包	c=1 d=1 t=2490
da bao 	打包	c=3 d=1.8781 t=5585
da bao bu ping 	打抱不平	c=0 d=0.1 t=8184
da biao ti 	大標題	c=1 d=1 t=3942
da bu fen 	大部分	c=3 d=2.83173 t=12369
da chang 	大廠	c=1 d=1 t=5646
da che 	打車	c=1 d=1 t=13645
da chu lai 	打出來	c=1 d=1 t=5096
da dao 	大刀	c=1 d=1 t=394
da dao 	達到	c=1 d=1 t=2762
da dui 	大隊	c=1 d=1.08511 t=72
da fan wei 	大範圍	c=1 d=1 t=7083
da fu 	答覆	c=2 d=1.9802 t=10691
da gai 	大概	c=3 d=1.00086 t=11887
da ge 	大哥	c=3 d=1.74366 t=7094
da ge 	打個	c=2 d=1.90937 t=9960
da gong 	打工	c=2 d=1.00004 t=12239
da han 	大旱	c=1 d=1 t=11708
da hu 	大戶	c=1 d=1 t=1511
da jia 	大家	c=4 d=1.0621 t=8448
da jia 	大架	c=2 d=1.46533 t=12050
da jia 	打架	c=2 d=1.47001 t=12049
da kai 	大楷	c=1 d=1 t=3704
da kai 	打開	c=3 d=1 t=7019
da kai xiao 	打開銷	c=1 d=1 t=158
da le 	大了	c=1 d=1 t=10756
da lu 	大陸	c=1 d=1 t=10276
da lu ban 	大陸版	c=2 d=1.92312 t=11333
da mo xing 	大模型	c=2 d=1.96079 t=465
da niu 	大牛	c=2 d=1.99501 t=1096
da qian 	大錢	c=1 d=1 t=6515
da rao 	打擾	c=2 d=1 t=7531
da shi da fei 	大是大非	c=1 d=1 t=4616
da shi qing 	大事情	c=1 d=1 t=4607
da shu ju 	大數據	c=1 d=1 t=1493
da suan 	打算	c=4 d=1.01434 t=13566
da tong 	大同	c=1 d=1 t=6926
da xiao 	打消	c=1 d=1 t=1771
da xue 	大學	c=1 d=0.106097 t=11145
da xue le 	大學了	c=1 d=1 t=11146
da yi tong 	大一统	c=1 d=1 t=1321
da yin 	打印	c=1 d=1 t=11509
da yue 	大約	c=1 d=1 t=10467
da zhao 	大招	c=1 d=1 t=9494
da zi 	達子	c=1 d=1 t=9854
dai 	代	c=1 d=1 t=9369
dai 	帶	c=3 d=1 t=11878
dai 	待	c=3 d=1 t=9367
dai 	戴	c=2 d=1.97253 t=7360
dai 	貸	c=9 d=3.66509 t=6504
dai biao 	代表	c=1 d=1 t=11941
dai ding 	待定	c=1 d=1 t=13899
dai guo 	待過	c=1 d=1 t=12243
dai hui qu 	帶回去	c=1 d=1 t=12803
dai kuan 	貸款	c=2 d=1 t=13124
dai le 	貸了	c=1 d=1 t=6470
dai li 	代理	c=7 d=1.00001 t=13864
dai ma 	代碼	c=16 d=1.44486 t=13903
dai zhe 	呆着	c=1 d=1 t=5225
dai zhe 	帶着	c=1 d=1 t=5237
dai zhe 	待者	c=1 d=1 t=13851
dai zhe he 	帶着喝	c=1 d=1 t=813
dan 	但	c=3 d=1 t=11656
dan 	單	c=2 d=1.00172 t=11655
dan dang 	擔當	c=1 d=1 t=8730
dan ding 	淡定	c=1 d=1 t=1785
dan du 	單獨	c=1 d=1 t=5083
dan fan 	但凡	c=1 d=1 t=13137
dan gao 	蛋糕	c=1 d=1 t=13925
dan gao quan 	蛋糕券	c=1 d=1 t=9520
dan hang 	但行	c=1 d=1 t=10381
dan hao 	單號	c=1 d=1 t=9898
dan jie shi 	膽結石	c=1 d=1 t=13954
dan li 	單例	c=2 d=1.00003 t=11626
dan nang 	膽囊	c=1 d=1 t=13615
dan ren 	單人	c=1 d=1 t=9734
dan shen 	單身	c=0 d=0.1 t=6806
dan shen zi yuan 	單身資源	c=1 d=1 t=6807
dan shi 	但是	c=49 d=1.33141 t=13945
dan tiao 	單條	c=1 d=1 t=7438
dan wu 	耽誤	c=1 d=1 t=8467
dang 	當	c=6 d=1.18825 t=10560
dang chu 	當初	c=2 d=1.05642 t=2830
dang ci 	檔次	c=2 d=1 t=8361
